,Dif10d,Dif14d,Dif18d,Dif21d,AveExpr,F,P.Value,adj.P.Val
CAB39,-0.339355555920188,0.122978393966587,1.30294115460099,1.28786172968379,-1.08807335690626,15.249998997099,1.55965155049511e-06,0.000308172967727375
CAD,0.052397043815242,0.991013296618241,1.26496554002206,1.35259184829729,-1.44669910006815,15.2152841793629,1.59133758796758e-06,0.000308229970930647
WDR7,-0.0974810465887216,0.639484822966787,1.07247208608581,1.16179300269174,-0.737324695114903,15.2094093304184,1.59676807322696e-06,0.000308229970930647
DHFR,0.32260522477417,0.384887866419786,1.18305408306677,1.4259085174109,-1.32329834394897,15.1918485611474,1.61311981565959e-06,0.000308229970930647
BANF1,0.147248136478268,0.650122073033863,1.3692443291927,-0.572788303123465,-2.28825941062187,15.1677382556693,1.63586437317869e-06,0.000309178366530772
PELP1,-0.0482314189557928,-0.244861252138281,0.642041480507845,1.14417561956285,-1.55322955809357,15.1346665076802,1.6676258275818e-06,0.000311792235376262
AASDHPPT,-0.00867828489628272,0.514751359568425,0.381163627124805,0.863781986125974,-0.0565114261808716,15.048443304727,1.75359564710128e-06,0.000324377884168055
PGD,0.133896136599795,0.849393042866464,0.933603647420574,0.961504630809335,-1.08197092921873,14.9447113157196,1.86339326245096e-06,0.000339959683448953
HMGB1,-0.0724443166432544,0.527183000386812,0.778375175232089,0.892430256146286,-0.00207525651372531,14.923537925878,1.88670114681491e-06,0.000339959683448953
SPRED1,0.160078443975439,0.251899878018575,0.651251574665119,0.830365654041131,0.512896890442398,14.9147333770143,1.8964854666752e-06,0.000339959683448953
LYRM4,-0.0514312146652411,-0.341416681820883,1.54688076551007,0.503249321382757,-0.8437761648582,14.8698449254187,1.94722523499219e-06,0.000345493391694329
MTOR,-0.108311424738366,0.423614325346087,0.772623170121757,0.833780311281045,-0.921901605972344,14.7575043057952,2.08072534175442e-06,0.00036240348179724
B4GALT7,-0.115467055644705,-0.438358333320141,-0.700171878366983,-1.11692197256223,-0.34826541768134,14.7546718845138,2.08421602137819e-06,0.00036240348179724
TUBD1,-0.104305604657433,0.241174827048959,1.25748589142544,0.958535103176874,-0.923127901371945,14.5421064270052,2.3650574616838e-06,0.000407164545977802
SSR1,0.05432204514161,-0.617583176702751,-0.547010324111994,-0.788721738768879,-0.0898280103480316,14.4980484241378,2.42821323294601e-06,0.000413938938181032
TNPO1,0.182969026028384,0.372830259082355,0.990682222955313,0.67431340784258,-0.136653979825488,14.4378669488678,2.51743087719779e-06,0.000424981437793351
NF1,0.269194202004358,0.978847176587735,1.1809917679889,1.32001449406125,0.659576825558275,14.4142688303779,2.5533717659035e-06,0.000426904117937789
LZTR1,-0.0666234600115471,0.457642995986236,0.424614981896652,0.744955631071385,0.272050830292651,14.2896105764674,2.75262216938798e-06,0.000452649733482629
METAP1,0.00883569532583967,0.368740999170405,0.878510808365433,1.37884452104926,-1.36249031994508,14.2855279224142,2.7594244162157e-06,0.000452649733482629
XYLT2,-0.162872803261994,-0.29526769022153,-0.614103233022487,-1.05938581119337,-0.523239261724214,14.2386912339891,2.83876776154759e-06,0.000458547536248303
SOS1,0.118771921314723,-0.999477461377464,-0.68695338928718,-0.758066342041498,-0.698382529067431,14.2332627844338,2.84812134315716e-06,0.000458547536248303
SDHB,0.342447770820933,0.375641257413928,1.11274232497397,0.778558160292727,-0.215962985398798,14.1789076142034,2.9436288462957e-06,0.000469576315407244
NAE1,0.334940395679249,0.646564448467342,1.43437033345605,1.28379789016418,-0.99671502731049,14.1428702769055,3.00884646489767e-06,0.000475616566651279
BCS1L,0.0836975540244592,0.627753703182127,0.551857258771556,0.997833631346746,-0.23670290241151,13.9610880259451,3.36239938857787e-06,0.000526715320437765
ACTR5,0.0823874966002577,0.185369593534774,0.792613334586622,0.592014194402193,0.108078926656877,13.8962865087107,3.49903311260523e-06,0.000539572989841605
UQCRFS1,-0.035053192097595,0.529138914748905,1.01484333588319,1.45699213166751,-0.65079250408599,13.8928046630333,3.50654174442727e-06,0.000539572989841605
UBE2A,0.0620988963203995,-0.570002582206634,-0.68811812524743,-0.953603247089799,-0.607132485205543,13.8017513570959,3.70918424774276e-06,0.000561690220137491
TYMS,-0.0760711267751915,0.676147192021682,0.674260598521609,0.928695590799184,-0.578575704934907,13.7992689555777,3.71488240831674e-06,0.000561690220137491
HNRNPM,0.166766280514849,-0.028359922918118,0.714421685557121,1.24952754685405,-0.999847047472743,13.6024589864132,4.19805731461981e-06,0.000629274315401805
AMBRA1,-0.100179778186035,0.702522553606145,0.347096324976949,0.608240468410097,0.576249614722947,13.5368341199039,4.37386516412676e-06,0.000650023653622531
AP2S1,-0.0878436450462358,0.656294064449514,1.44094716482529,1.11503775395475,-0.696148623315643,13.4962670665669,4.48649378566107e-06,0.000661111474110803
IPO5,-0.245948226485861,-0.723449122754405,-0.417519129508153,-0.192785503769065,-0.674536863868904,13.3007701859333,5.07479742915781e-06,0.000740666673900495
UMPS,0.215317120229097,0.213582579078355,0.986899917089455,1.31044110542337,-0.608841093092101,13.2808447696425,5.13926372315187e-06,0.000740666673900495
KRAS,-0.186590168395238,-0.929874549252966,-0.835371477690358,-0.748296010843184,-0.257349116650054,13.276276482003,5.15416767552104e-06,0.000740666673900495
GET1,0.0305581589083729,0.198016186639244,1.17569688194875,0.438119717185301,-1.22579045897865,12.9485490812105,6.35490513705761e-06,0.000905730250189818
ORC3,0.131053543692428,0.24640927893802,1.15242199228825,1.00659827972008,-0.817421900317548,12.9202087170139,6.47205618670244e-06,0.000914927747759204
SDHC,-0.0631542869972808,-0.14640029045637,0.790568981024011,1.0887548127728,-0.635426429128994,12.9051250674882,6.53535323073056e-06,0.000915327712304988
TXNRD1,-0.106419660175906,0.489378105926126,0.571976583964412,0.86432329492432,-0.0117680999457053,12.8945404104276,6.58016816414329e-06,0.000915327712304988
UBTF,0.201562270833585,0.84671628182308,0.911563377008865,1.12905375716627,-1.99965717835241,12.8804726850373,6.64024261365187e-06,0.000916353480683958
RBPJ,-0.193534700858784,-0.460587678052853,-0.579377083935003,-0.805144272927588,0.222927765470507,12.698162515519,7.47449043035522e-06,0.00102335779214974
FBXL20,0.172653129753252,0.600251081493456,0.422483776520279,0.621046719008032,0.638241302100412,12.655466679637,7.6857353219699e-06,0.00104405910764385
ALDOA,0.0671249521730429,0.880905563328489,1.01499094897965,0.539248978090595,-0.59597084220587,12.5918725752957,8.01237325106253e-06,0.00107999338053857
FAM20B,0.0222710846573234,-0.438942094425758,-0.565456644605036,-0.476192074304414,0.0407395706378598,12.5530862662807,8.21889935295752e-06,0.00109930939960943
RACK1,-0.16164030843935,0.400171500153893,1.2265478325926,0.509105092294312,-1.31406691527757,12.4721187988031,8.66871738953911e-06,0.00115062334327714
DHX33,-0.220111788525122,-0.0596702546448511,1.24046064014737,1.03657480531147,-1.10194506115355,12.4407010408458,8.85033039684353e-06,0.00116582988591148
EXT2,-0.0706138704679393,-0.388195412854665,-0.599346040196615,-0.848147462552167,0.000177649822878733,12.3389339097978,9.46725933757387e-06,0.00123771958918597
TM2D1,-0.356233424651624,-0.5538157515201,-0.325022969799137,-0.870711380853558,-0.509850237422528,12.256526579924,1.00007273223908e-05,0.00129770631852038
GMPS,-0.130171359662746,0.814346884907282,1.27135241020875,1.17297732348842,-1.63008255665631,12.2424062089252,1.00953377257266e-05,0.00129968495508009
EIF4E2,-0.0524188292893866,0.618148793926234,0.43942610030115,0.820202265565471,0.322536170030609,12.2320310179619,1.01654677876059e-05,0.00129968495508009
